Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-12-01,ENFA,10.0,10.0,9.785,10.0,10.0,14300
2021-12-02,ENFA,9.98,10.6,9.8,9.91,9.91,157500
2021-12-03,ENFA,11.17,11.231,8.5,9.62,9.62,922600
2021-12-06,BZFD,10.95,14.77,8.0,8.56,8.56,4329300
2021-12-07,BZFD,8.7,9.05,7.56,7.85,7.85,1395900
2021-12-08,BZFD,8.0,8.07,7.57,7.68,7.68,460900
2021-12-09,BZFD,7.65,7.83,5.77,5.87,5.87,1552100
2021-12-10,BZFD,6.0,6.332,5.56,6.07,6.07,1208300
2021-12-13,BZFD,6.21,6.77,6.01,6.25,6.25,1685500
2021-12-14,BZFD,6.25,6.337,5.66,5.77,5.77,530400
2021-12-15,BZFD,5.78,6.26,5.51,6.26,6.26,961400
2021-12-16,BZFD,6.27,6.37,5.95,6.21,6.21,674200
2021-12-17,BZFD,6.08,6.27,6.0,6.18,6.18,929300
2021-12-20,BZFD,6.01,6.12,5.851,6.07,6.07,653500
2021-12-21,BZFD,6.09,6.13,5.58,5.92,5.92,792500
2021-12-22,BZFD,5.88,5.919,5.34,5.54,5.54,452300
2021-12-23,BZFD,5.42,5.55,5.3,5.53,5.53,309100
2021-12-27,BZFD,5.61,5.62,5.16,5.47,5.47,342000
2021-12-28,BZFD,5.31,5.58,5.22,5.54,5.54,264900
2021-12-29,BZFD,5.59,5.64,5.295,5.58,5.58,203300
2021-12-30,BZFD,5.53,5.53,5.25,5.29,5.29,221600
2021-12-31,BZFD,5.24,5.49,5.11,5.33,5.33,380700
