Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-12-01,IMR,1.5,1.5,1.5,1.5,1.5,0
2021-12-02,IMR,1.25,1.25,1.25,1.25,1.25,1260
2021-12-03,IMR,1.25,1.25,1.25,1.25,1.25,23000
2021-12-06,IMR,1.25,1.25,1.25,1.25,1.25,4720
2021-12-07,IMR,1.25,1.25,1.25,1.25,1.25,56400
2021-12-08,IMR,1.25,1.25,1.25,1.25,1.25,30240
2021-12-09,IMR,1.25,1.25,1.25,1.25,1.25,30800
2021-12-10,IMR,1.0,1.25,1.0,1.25,1.25,20200
2021-12-13,IMR,1.0,1.0,1.0,1.0,1.0,46160
2021-12-14,IMR,1.0,1.0,1.0,1.0,1.0,51380
2021-12-15,IMR,1.0,1.0,1.0,1.0,1.0,200
2021-12-16,IMR,1.0,1.0,1.0,1.0,1.0,800
2021-12-17,IMR,1.0,1.0,1.0,1.0,1.0,0
2021-12-20,IMR,1.0,1.25,1.0,1.0,1.0,6600
2021-12-21,IMR,1.0,1.0,1.0,1.0,1.0,50120
2021-12-22,IMR,1.25,1.25,1.25,1.25,1.25,800
2021-12-23,IMR,1.25,1.25,1.25,1.25,1.25,23900
2021-12-24,IMR,0.25,0.25,0.25,0.25,0.25,0
2021-12-29,IMR,1.25,1.25,1.25,1.25,1.25,24000
2021-12-30,IMR,1.0,1.25,1.0,1.25,1.25,36700
2021-12-31,IMR,1.0,1.0,1.0,1.0,1.0,2140
