Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-11-01,ENFA,9.96,9.97,9.95,9.97,9.97,50700
2021-11-02,ENFA,9.95,9.96,9.95,9.955,9.955,28100
2021-11-03,ENFA,9.97,9.97,9.94,9.95,9.95,10800
2021-11-04,ENFA,9.956,9.96,9.95,9.95,9.95,30800
2021-11-05,ENFA,9.94,9.96,9.94,9.95,9.95,108800
2021-11-08,ENFA,9.92,9.99,9.92,9.99,9.99,17600
2021-11-09,ENFA,9.96,9.97,9.95,9.97,9.97,6200
2021-11-10,ENFA,9.97,9.97,9.95,9.97,9.97,1167400
2021-11-11,ENFA,9.95,9.96,9.95,9.95,9.95,395100
2021-11-12,ENFA,9.99,9.99,9.97,9.97,9.97,429100
2021-11-15,ENFA,9.98,9.99,9.97,9.98,9.98,188000
2021-11-16,ENFA,9.97,9.98,9.97,9.98,9.98,45600
2021-11-17,ENFA,9.98,9.98,9.97,9.98,9.98,151800
2021-11-18,ENFA,9.987,9.987,9.97,9.98,9.98,50800
2021-11-19,ENFA,9.98,9.99,9.98,9.985,9.985,679200
2021-11-22,ENFA,9.99,9.99,9.97,9.97,9.97,124500
2021-11-23,ENFA,9.97,9.98,9.97,9.97,9.97,311100
2021-11-24,ENFA,9.98,9.98,9.97,9.97,9.97,103300
2021-11-26,ENFA,9.98,9.99,9.97,9.99,9.99,208700
2021-11-29,ENFA,9.97,9.97,9.46,9.61,9.61,74100
2021-11-30,ENFA,9.7,9.99,9.7,9.97,9.97,40800
