Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-04,IMR,1.0,1.25,1.0,1.25,1.25,27160
2022-01-05,IMR,0.25,0.25,0.25,0.25,0.25,27200
2022-01-06,IMR,0.25,0.25,0.25,0.25,0.25,2620
2022-01-07,IMR,0.25,0.25,0.25,0.25,0.25,0
2022-01-10,IMR,0.2,0.2,0.2,0.2,0.2,22600
2022-01-11,IMR,0.2,0.2,0.2,0.2,0.2,2360
2022-01-12,IMR,0.2,0.2,0.15,0.2,0.2,181020
2022-01-13,IMR,0.15,0.2,0.15,0.15,0.15,80900
2022-01-14,IMR,0.2,0.2,0.19,0.19,0.19,3000
2022-01-17,IMR,0.19,0.19,0.19,0.19,0.19,2100
2022-01-18,IMR,0.17,0.19,0.17,0.19,0.19,14000
2022-01-19,IMR,0.2,0.2,0.2,0.2,0.2,11400
2022-01-20,IMR,0.2,0.2,0.2,0.2,0.2,0
2022-01-21,IMR,0.19,0.19,0.19,0.19,0.19,36200
2022-01-24,IMR,0.17,0.17,0.17,0.17,0.17,9600
2022-01-25,IMR,0.16,0.16,0.16,0.16,0.16,72900
2022-01-26,IMR,0.16,0.16,0.16,0.16,0.16,0
2022-01-27,IMR,0.16,0.16,0.16,0.16,0.16,0
2022-01-28,IMR,0.16,0.16,0.16,0.16,0.16,8300
2022-01-31,IMR,0.16,0.16,0.16,0.16,0.16,5400
