date,id,webcommand,total_qty,total_basket
2021-09-03,58,False,2,217.89
2021-09-04,104,False,18,170.1
2021-09-04,23,False,10,338.85
2021-09-04,92,False,3,324.81
2021-09-06,68,True,3,449.71
2021-09-06,57,True,7,300.93
2021-09-06,87,True,8,226.28
2021-09-06,7,False,9,364.51
2021-09-07,10,False,18,180.23
2021-09-08,32,True,16,343.52
2021-09-09,39,False,18,209.0
2021-09-09,60,True,5,141.17
2021-09-09,28,False,16,224.81
2021-09-09,117,False,8,173.23
2021-09-09,76,True,6,19.16
2021-09-10,115,True,5,364.99
2021-09-10,8,False,5,438.61
2021-09-11,94,False,15,250.75
2021-09-11,118,True,15,275.77
2021-09-12,49,True,7,269.64
2021-09-13,20,False,17,344.72
2021-09-13,31,True,4,84.32
2021-09-14,25,True,16,36.71
2021-09-15,4,False,8,51.0
2021-09-15,102,True,7,43.39
2021-09-16,95,False,2,66.9
2021-09-16,84,True,6,423.21
2021-09-16,66,True,11,185.9
2021-09-16,81,True,4,229.71
2021-09-16,56,False,1,145.14
2021-09-17,115,False,1,165.39
2021-09-19,46,False,1,33.28
2021-09-21,27,False,16,47.14
2021-09-21,22,False,15,65.67
2021-09-23,21,False,15,162.63
2021-09-23,119,False,9,70.06
2021-09-23,43,True,14,444.77
2021-09-24,131,False,17,96.49
2021-09-25,77,False,14,303.33
2021-09-26,14,True,5,410.19
2021-09-26,50,True,6,281.22
2021-09-27,98,True,1,395.27
2021-09-27,112,True,16,279.4
2021-09-27,109,True,14,264.12
2021-09-27,26,False,11,431.52
2021-09-29,44,True,14,393.5
2021-09-29,122,True,6,223.14
2021-09-30,63,True,8,31.03
2021-09-30,56,False,11,347.44
2021-10-03,13,True,5,135.38
2021-10-04,135,False,10,132.39
2021-10-05,33,False,5,125.28
2021-10-06,46,False,13,51.9
2021-10-06,82,True,7,313.37
2021-10-06,33,False,2,186.67
2021-10-07,89,True,6,255.75
2021-10-07,51,False,2,274.81
2021-10-08,115,True,6,40.8
2021-10-09,60,False,10,362.84
2021-10-09,129,False,17,134.15
2021-10-09,68,False,7,137.54
2021-10-09,90,True,18,445.18
2021-10-10,120,False,9,161.18
2021-10-11,37,True,17,70.66
2021-10-11,76,True,18,139.2
2021-10-11,80,False,9,182.26
2021-10-11,139,True,18,255.35
2021-10-13,2,False,16,27.39
2021-10-13,97,True,16,70.45
2021-10-14,117,True,13,135.51
2021-10-14,60,True,1,174.59
2021-10-16,109,True,14,349.0
2021-10-16,101,True,5,340.49
2021-10-17,124,False,9,113.43
