Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-12-01,AAPL,167.479996,170.300003,164.529999,164.770004,164.560349,152052500
2021-12-02,AAPL,158.740005,164.199997,157.800003,163.759995,163.55162,136739200
2021-12-03,AAPL,164.020004,164.960007,159.720001,161.839996,161.634064,117938300
2021-12-06,AAPL,164.289993,167.880005,164.279999,165.320007,165.10965,107497000
2021-12-07,AAPL,169.080002,171.580002,168.339996,171.179993,170.962173,120405400
2021-12-08,AAPL,172.130005,175.960007,170.699997,175.080002,174.857224,116998900
2021-12-09,AAPL,174.910004,176.75,173.919998,174.559998,174.337875,108923700
2021-12-10,AAPL,175.210007,179.630005,174.690002,179.449997,179.221664,115228100
2021-12-13,AAPL,181.119995,182.130005,175.529999,175.740005,175.516388,153237000
2021-12-14,AAPL,175.25,177.740005,172.210007,174.330002,174.108185,139380400
2021-12-15,AAPL,175.110001,179.5,172.309998,179.300003,179.071854,131063300
2021-12-16,AAPL,179.279999,181.139999,170.75,172.259995,172.040802,150185800
2021-12-17,AAPL,169.929993,173.470001,169.690002,171.139999,170.922241,195432700
2021-12-20,AAPL,168.279999,170.580002,167.460007,169.75,169.533997,107499100
2021-12-21,AAPL,171.559998,173.199997,169.119995,172.990005,172.769882,91185900
2021-12-22,AAPL,173.039993,175.860001,172.149994,175.639999,175.416504,92135300
2021-12-23,AAPL,175.850006,176.850006,175.270004,176.279999,176.055695,68356600
2021-12-27,AAPL,177.089996,180.419998,177.070007,180.330002,180.10054,74919600
2021-12-28,AAPL,180.160004,181.330002,178.529999,179.289993,179.061859,79144300
2021-12-29,AAPL,179.330002,180.630005,178.139999,179.380005,179.151749,62348900
2021-12-30,AAPL,179.470001,180.570007,178.089996,178.199997,177.973251,59773000
2021-12-31,AAPL,178.089996,179.229996,177.259995,177.570007,177.344055,64062300
2021-12-01,ENFA,10.0,10.0,9.785,10.0,10.0,14300
2021-12-02,ENFA,9.98,10.6,9.8,9.91,9.91,157500
2021-12-03,ENFA,11.17,11.231,8.5,9.62,9.62,922600
2021-12-06,BZFD,10.95,14.77,8.0,8.56,8.56,4329300
2021-12-07,BZFD,8.7,9.05,7.56,7.85,7.85,1395900
2021-12-08,BZFD,8.0,8.07,7.57,7.68,7.68,460900
2021-12-09,BZFD,7.65,7.83,5.77,5.87,5.87,1552100
2021-12-10,BZFD,6.0,6.332,5.56,6.07,6.07,1208300
2021-12-13,BZFD,6.21,6.77,6.01,6.25,6.25,1685500
2021-12-14,BZFD,6.25,6.337,5.66,5.77,5.77,530400
2021-12-15,BZFD,5.78,6.26,5.51,6.26,6.26,961400
2021-12-16,BZFD,6.27,6.37,5.95,6.21,6.21,674200
2021-12-17,BZFD,6.08,6.27,6.0,6.18,6.18,929300
2021-12-20,BZFD,6.01,6.12,5.851,6.07,6.07,653500
2021-12-21,BZFD,6.09,6.13,5.58,5.92,5.92,792500
2021-12-22,BZFD,5.88,5.919,5.34,5.54,5.54,452300
2021-12-23,BZFD,5.42,5.55,5.3,5.53,5.53,309100
2021-12-27,BZFD,5.61,5.62,5.16,5.47,5.47,342000
2021-12-28,BZFD,5.31,5.58,5.22,5.54,5.54,264900
2021-12-29,BZFD,5.59,5.64,5.295,5.58,5.58,203300
2021-12-30,BZFD,5.53,5.53,5.25,5.29,5.29,221600
2021-12-31,BZFD,5.24,5.49,5.11,5.33,5.33,380700
2021-12-01,EURUSD,1.133003,1.135847,1.130416,1.133029,1.133029,0
2021-12-02,EURUSD,1.131964,1.134816,1.130186,1.131952,1.131952,0
2021-12-03,EURUSD,1.130684,1.133183,1.126735,1.130621,1.130621,0
2021-12-06,EURUSD,1.130263,1.131,1.1269,1.13048,1.13048,0
2021-12-07,EURUSD,1.128452,1.129943,1.123129,1.128668,1.128668,0
2021-12-08,EURUSD,1.127307,1.133903,1.126964,1.12765,1.12765,0
2021-12-09,EURUSD,1.134404,1.134559,1.127943,1.134559,1.134559,0
2021-12-10,EURUSD,1.129408,1.132259,1.126735,1.129331,1.129331,0
2021-12-13,EURUSD,1.131119,1.131606,1.126354,1.131183,1.131183,0
2021-12-14,EURUSD,1.128337,1.132759,1.126659,1.128541,1.128541,0
2021-12-15,EURUSD,1.125873,1.1278,1.124923,1.126126,1.126126,0
2021-12-16,EURUSD,1.129305,1.136364,1.12821,1.129076,1.129076,0
2021-12-17,EURUSD,1.133543,1.134906,1.126837,1.133414,1.133414,0
2021-12-20,EURUSD,1.124252,1.130454,1.123734,1.124354,1.124354,0
2021-12-21,EURUSD,1.127675,1.130327,1.126177,1.127752,1.127752,0
2021-12-22,EURUSD,1.12905,1.1342,1.126532,1.128757,1.128757,0
2021-12-23,EURUSD,1.133016,1.134559,1.129152,1.132888,1.132888,0
2021-12-24,EURUSD,1.132464,1.13443,1.130838,1.132734,1.132734,0
2021-12-27,EURUSD,1.132387,1.1335,1.130416,1.132426,1.132426,0
2021-12-28,EURUSD,1.132978,1.1336,1.129038,1.133003,1.133003,0
2021-12-29,EURUSD,1.131337,1.137001,1.127536,1.131478,1.131478,0
2021-12-30,EURUSD,1.135976,1.135976,1.130071,1.136015,1.136015,0
2021-12-31,EURUSD,1.132323,1.137915,1.130506,1.132503,1.132503,0
2021-12-01,MSFT,335.130005,339.279999,329.390015,330.079987,330.079987,33337600
2021-12-02,MSFT,330.299988,333.48999,327.799988,329.48999,329.48999,30766000
2021-12-03,MSFT,331.98999,332.700012,318.029999,323.01001,323.01001,41755900
2021-12-06,MSFT,323.950012,327.450012,319.230011,326.190002,326.190002,30032600
2021-12-07,MSFT,331.640015,335.799988,330.100006,334.920013,334.920013,31021900
2021-12-08,MSFT,335.309998,335.5,330.799988,334.970001,334.970001,24761000
2021-12-09,MSFT,334.410004,336.48999,332.119995,333.100006,333.100006,22214200
2021-12-10,MSFT,334.980011,343.0,334.790009,342.540009,342.540009,38077300
2021-12-13,MSFT,340.679993,343.790009,339.079987,339.399994,339.399994,28899400
2021-12-14,MSFT,333.220001,334.640015,324.109985,328.339996,328.339996,44438700
2021-12-15,MSFT,328.609985,335.190002,324.5,334.649994,334.649994,35381100
2021-12-16,MSFT,335.709991,336.76001,323.019989,324.899994,324.899994,35034800
2021-12-17,MSFT,320.880005,324.920013,317.25,323.799988,323.799988,47750300
2021-12-20,MSFT,320.049988,322.799988,317.570007,319.910004,319.910004,28326500
2021-12-21,MSFT,323.290009,327.730011,319.799988,327.290009,327.290009,24740600
2021-12-22,MSFT,328.299988,333.609985,325.75,333.200012,333.200012,24831500
2021-12-23,MSFT,332.75,336.390015,332.730011,334.690002,334.690002,19617800
2021-12-27,MSFT,335.459991,342.480011,335.429993,342.450012,342.450012,19947000
2021-12-28,MSFT,343.149994,343.809998,340.320007,341.25,341.25,15661500
2021-12-29,MSFT,341.299988,344.299988,339.679993,341.950012,341.950012,15042000
2021-12-30,MSFT,341.910004,343.130005,338.820007,339.320007,339.320007,15994500
2021-12-31,MSFT,338.51001,339.359985,335.850006,336.320007,336.320007,18000800
2021-12-01,IMR,1.5,1.5,1.5,1.5,1.5,0
2021-12-02,IMR,1.25,1.25,1.25,1.25,1.25,1260
2021-12-03,IMR,1.25,1.25,1.25,1.25,1.25,23000
2021-12-06,IMR,1.25,1.25,1.25,1.25,1.25,4720
2021-12-07,IMR,1.25,1.25,1.25,1.25,1.25,56400
2021-12-08,IMR,1.25,1.25,1.25,1.25,1.25,30240
2021-12-09,IMR,1.25,1.25,1.25,1.25,1.25,30800
2021-12-10,IMR,1.0,1.25,1.0,1.25,1.25,20200
2021-12-13,IMR,1.0,1.0,1.0,1.0,1.0,46160
2021-12-14,IMR,1.0,1.0,1.0,1.0,1.0,51380
2021-12-15,IMR,1.0,1.0,1.0,1.0,1.0,200
2021-12-16,IMR,1.0,1.0,1.0,1.0,1.0,800
2021-12-17,IMR,1.0,1.0,1.0,1.0,1.0,0
2021-12-20,IMR,1.0,1.25,1.0,1.0,1.0,6600
2021-12-21,IMR,1.0,1.0,1.0,1.0,1.0,50120
2021-12-22,IMR,1.25,1.25,1.25,1.25,1.25,800
2021-12-23,IMR,1.25,1.25,1.25,1.25,1.25,23900
2021-12-24,IMR,0.25,0.25,0.25,0.25,0.25,0
2021-12-29,IMR,1.25,1.25,1.25,1.25,1.25,24000
2021-12-30,IMR,1.0,1.25,1.0,1.25,1.25,36700
2021-12-31,IMR,1.0,1.0,1.0,1.0,1.0,2140
2021-12-01,APCX,17.0525,17.0525,14.25,14.25,14.25,2600
2021-12-02,APCX,13.965,20.235,13.965,17.1,17.1,34400
2021-12-03,APCX,14.82,14.82,11.78,12.825,12.825,30200
2021-12-06,APCX,12.635000000000002,13.3,12.635000000000002,12.635000000000002,12.635000000000002,10600
2021-12-07,APCX,12.635000000000002,12.635000000000002,10.545000000000002,11.875,11.875,7800
2021-12-08,APCX,10.545000000000002,11.495,10.545000000000002,11.495,11.495,5000
2021-12-09,APCX,11.685,11.685,11.685,11.685,11.685,1500
2021-12-10,APCX,11.685,11.685,11.685,11.685,11.685,0
2021-12-13,APCX,12.35,12.9675,11.685,11.685,11.685,2700
2021-12-14,APCX,11.685,13.775,11.685,11.875,11.875,8000
2021-12-15,APCX,11.875,11.875,11.685,11.78,11.78,1800
2021-12-16,APCX,11.78,12.920000000000002,11.78,12.825,12.825,4600
2021-12-17,APCX,13.585,13.585,11.78,12.54,12.54,5200
2021-12-20,APCX,12.920000000000002,12.920000000000002,9.5,9.5,9.5,16400
2021-12-21,APCX,9.975,9.975,7.315,9.5,9.5,46500
2021-12-22,APCX,9.5,10.45,9.5,9.785,9.785,5400
2021-12-23,APCX,9.785,15.2,9.69,12.635000000000002,12.635000000000002,8700
2021-12-27,APCX,13.775,15.2,13.775,13.775,13.775,900
2021-12-28,APCX,12.445,12.445,10.45,10.45,10.45,500
2021-12-29,APCX,15.2,15.2,10.165,10.165,10.165,2000
2021-12-30,APCX,12.635000000000002,14.25,11.02,11.02,11.02,9200
2021-12-31,APCX,11.02,12.445,11.02,12.445,12.445,1600
