Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-11-01,EURUSD,1.155936,1.159326,1.154668,1.155668,1.155668,0
2021-11-02,EURUSD,1.160174,1.1615,1.157917,1.159958,1.159958,0
2021-11-03,EURUSD,1.158078,1.1599,1.156363,1.157943,1.157943,0
2021-11-04,EURUSD,1.161575,1.16171,1.152924,1.161575,1.161575,0
2021-11-05,EURUSD,1.155668,1.15647,1.15141,1.155535,1.155535,0
2021-11-08,EURUSD,1.156845,1.159555,1.155175,1.156885,1.156885,0
2021-11-09,EURUSD,1.158869,1.160901,1.157019,1.159152,1.159152,0
2021-11-10,EURUSD,1.159366,1.159824,1.151344,1.159555,1.159555,0
2021-11-11,EURUSD,1.148567,1.149161,1.145489,1.148594,1.148594,0
2021-11-12,EURUSD,1.14478,1.145987,1.143406,1.145082,1.145082,0
2021-11-15,EURUSD,1.14423,1.146421,1.141696,1.144165,1.144165,0
2021-11-16,EURUSD,1.136738,1.138701,1.133067,1.136648,1.136648,0
2021-11-17,EURUSD,1.131618,1.1334,1.127053,1.132118,1.132118,0
2021-11-18,EURUSD,1.131811,1.135976,1.131503,1.132118,1.132118,0
2021-11-19,EURUSD,1.13701,1.13701,1.125239,1.136842,1.136842,0
2021-11-22,EURUSD,1.127574,1.12905,1.123823,1.127574,1.127574,0
2021-11-23,EURUSD,1.124354,1.127345,1.122712,1.124215,1.124215,0
2021-11-24,EURUSD,1.124391,1.125454,1.118781,1.124493,1.124493,0
2021-11-25,EURUSD,1.120699,1.123091,1.120398,1.120298,1.120298,0
2021-11-26,EURUSD,1.1209,1.1322,1.1208,1.120963,1.120963,0
2021-11-29,EURUSD,1.129114,1.129801,1.125885,1.129318,1.129318,0
2021-11-30,EURUSD,1.129357,1.138174,1.124606,1.129344,1.129344,0
