Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-11-01,IMR,1.5,1.5,1.25,1.5,1.5,23600
2021-11-02,IMR,1.5,1.5,1.5,1.5,1.5,33600
2021-11-03,IMR,1.25,1.25,1.25,1.25,1.25,17200
2021-11-04,IMR,1.25,1.25,1.25,1.25,1.25,4280
2021-11-05,IMR,1.25,1.25,1.25,1.25,1.25,16500
2021-11-08,IMR,1.5,1.5,1.5,1.5,1.5,4000
2021-11-09,IMR,1.25,1.25,1.25,1.25,1.25,2360
2021-11-10,IMR,1.25,1.5,1.25,1.5,1.5,7000
2021-11-11,IMR,1.25,1.25,1.25,1.25,1.25,2000
2021-11-12,IMR,1.5,1.5,1.25,1.25,1.25,8000
2021-11-15,IMR,1.5,1.5,1.5,1.5,1.5,17400
2021-11-16,IMR,1.25,1.5,1.25,1.5,1.5,14500
2021-11-17,IMR,1.5,1.5,1.5,1.5,1.5,0
2021-11-18,IMR,1.5,1.5,1.5,1.5,1.5,3200
2021-11-19,IMR,1.5,1.5,1.5,1.5,1.5,0
2021-11-22,IMR,1.5,1.5,1.25,1.25,1.25,8600
2021-11-23,IMR,1.25,1.25,1.25,1.25,1.25,0
2021-11-24,IMR,1.25,1.25,1.25,1.25,1.25,400
2021-11-25,IMR,1.5,1.5,1.5,1.5,1.5,3440
2021-11-26,IMR,1.5,1.5,1.5,1.5,1.5,6000
2021-11-29,IMR,1.5,1.5,1.5,1.5,1.5,5020
2021-11-30,IMR,1.25,1.5,1.25,1.5,1.5,1600
