Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2021-11-01,AAPL,148.990005,149.699997,147.800003,148.960007,148.55365,74588300
2021-11-02,AAPL,148.660004,151.570007,148.649994,150.020004,149.610764,69122000
2021-11-03,AAPL,150.389999,151.970001,149.820007,151.490005,151.076767,54511500
2021-11-04,AAPL,151.580002,152.429993,150.639999,150.960007,150.548203,60394600
2021-11-05,AAPL,151.889999,152.199997,150.059998,151.279999,151.087509,65414600
2021-11-08,AAPL,151.410004,151.570007,150.160004,150.440002,150.248581,55020900
2021-11-09,AAPL,150.199997,151.429993,150.059998,150.809998,150.618103,56787900
2021-11-10,AAPL,150.020004,150.130005,147.850006,147.919998,147.731781,65187100
2021-11-11,AAPL,148.960007,149.429993,147.679993,147.869995,147.681839,41000000
2021-11-12,AAPL,148.429993,150.399994,147.479996,149.990005,149.799149,63632600
2021-11-15,AAPL,150.369995,151.880005,149.429993,150.0,149.809128,59222800
2021-11-16,AAPL,149.940002,151.490005,149.339996,151.0,150.807861,59256200
2021-11-17,AAPL,151.0,155.0,150.990005,153.490005,153.294693,88807000
2021-11-18,AAPL,153.710007,158.669998,153.050003,157.869995,157.669113,137827700
2021-11-19,AAPL,157.649994,161.020004,156.529999,160.550003,160.345718,117305600
2021-11-22,AAPL,161.679993,165.699997,161.0,161.020004,160.815109,117467900
2021-11-23,AAPL,161.119995,161.800003,159.059998,161.410004,161.20462,96041900
2021-11-24,AAPL,160.75,162.139999,159.639999,161.940002,161.733948,69463600
2021-11-26,AAPL,159.570007,160.449997,156.360001,156.809998,156.610474,76959800
2021-11-29,AAPL,159.369995,161.190002,158.789993,160.240005,160.036102,88748200
2021-11-30,AAPL,159.990005,165.520004,159.919998,165.300003,165.089676,174048100
2021-11-01,ENFA,9.96,9.97,9.95,9.97,9.97,50700
2021-11-02,ENFA,9.95,9.96,9.95,9.955,9.955,28100
2021-11-03,ENFA,9.97,9.97,9.94,9.95,9.95,10800
2021-11-04,ENFA,9.956,9.96,9.95,9.95,9.95,30800
2021-11-05,ENFA,9.94,9.96,9.94,9.95,9.95,108800
2021-11-08,ENFA,9.92,9.99,9.92,9.99,9.99,17600
2021-11-09,ENFA,9.96,9.97,9.95,9.97,9.97,6200
2021-11-10,ENFA,9.97,9.97,9.95,9.97,9.97,1167400
2021-11-11,ENFA,9.95,9.96,9.95,9.95,9.95,395100
2021-11-12,ENFA,9.99,9.99,9.97,9.97,9.97,429100
2021-11-15,ENFA,9.98,9.99,9.97,9.98,9.98,188000
2021-11-16,ENFA,9.97,9.98,9.97,9.98,9.98,45600
2021-11-17,ENFA,9.98,9.98,9.97,9.98,9.98,151800
2021-11-18,ENFA,9.987,9.987,9.97,9.98,9.98,50800
2021-11-19,ENFA,9.98,9.99,9.98,9.985,9.985,679200
2021-11-22,ENFA,9.99,9.99,9.97,9.97,9.97,124500
2021-11-23,ENFA,9.97,9.98,9.97,9.97,9.97,311100
2021-11-24,ENFA,9.98,9.98,9.97,9.97,9.97,103300
2021-11-26,ENFA,9.98,9.99,9.97,9.99,9.99,208700
2021-11-29,ENFA,9.97,9.97,9.46,9.61,9.61,74100
2021-11-30,ENFA,9.7,9.99,9.7,9.97,9.97,40800
2021-11-01,EURUSD,1.155936,1.159326,1.154668,1.155668,1.155668,0
2021-11-02,EURUSD,1.160174,1.1615,1.157917,1.159958,1.159958,0
2021-11-03,EURUSD,1.158078,1.1599,1.156363,1.157943,1.157943,0
2021-11-04,EURUSD,1.161575,1.16171,1.152924,1.161575,1.161575,0
2021-11-05,EURUSD,1.155668,1.15647,1.15141,1.155535,1.155535,0
2021-11-08,EURUSD,1.156845,1.159555,1.155175,1.156885,1.156885,0
2021-11-09,EURUSD,1.158869,1.160901,1.157019,1.159152,1.159152,0
2021-11-10,EURUSD,1.159366,1.159824,1.151344,1.159555,1.159555,0
2021-11-11,EURUSD,1.148567,1.149161,1.145489,1.148594,1.148594,0
2021-11-12,EURUSD,1.14478,1.145987,1.143406,1.145082,1.145082,0
2021-11-15,EURUSD,1.14423,1.146421,1.141696,1.144165,1.144165,0
2021-11-16,EURUSD,1.136738,1.138701,1.133067,1.136648,1.136648,0
2021-11-17,EURUSD,1.131618,1.1334,1.127053,1.132118,1.132118,0
2021-11-18,EURUSD,1.131811,1.135976,1.131503,1.132118,1.132118,0
2021-11-19,EURUSD,1.13701,1.13701,1.125239,1.136842,1.136842,0
2021-11-22,EURUSD,1.127574,1.12905,1.123823,1.127574,1.127574,0
2021-11-23,EURUSD,1.124354,1.127345,1.122712,1.124215,1.124215,0
2021-11-24,EURUSD,1.124391,1.125454,1.118781,1.124493,1.124493,0
2021-11-25,EURUSD,1.120699,1.123091,1.120398,1.120298,1.120298,0
2021-11-26,EURUSD,1.1209,1.1322,1.1208,1.120963,1.120963,0
2021-11-29,EURUSD,1.129114,1.129801,1.125885,1.129318,1.129318,0
2021-11-30,EURUSD,1.129357,1.138174,1.124606,1.129344,1.129344,0
2021-11-01,MSFT,331.359985,331.48999,326.369995,329.369995,328.768524,27073200
2021-11-02,MSFT,330.309998,333.450012,330.0,333.130005,332.521667,26487100
2021-11-03,MSFT,333.899994,334.899994,330.649994,334.0,333.390045,21500100
2021-11-04,MSFT,332.890015,336.540009,329.51001,336.440002,335.825592,23992200
2021-11-05,MSFT,338.51001,338.790009,334.420013,336.059998,335.446289,22564000
2021-11-08,MSFT,337.299988,337.649994,334.440002,336.98999,336.374603,20897000
2021-11-09,MSFT,337.109985,338.720001,334.529999,335.950012,335.336517,21307400
2021-11-10,MSFT,334.570007,334.630005,329.920013,330.799988,330.195892,25500900
2021-11-11,MSFT,331.25,333.769989,330.51001,332.429993,331.822906,16849800
2021-11-12,MSFT,333.920013,337.230011,333.790009,336.720001,336.105103,23822000
2021-11-15,MSFT,337.540009,337.880005,334.029999,336.070007,335.456299,16723000
2021-11-16,MSFT,335.679993,340.670013,335.51001,339.51001,338.890015,20886800
2021-11-17,MSFT,338.940002,342.190002,338.0,339.119995,339.119995,19053400
2021-11-18,MSFT,338.179993,342.450012,337.119995,341.269989,341.269989,22463500
