Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,AAPL,177.830002,182.880005,177.710007,182.009995,181.778397,104487900
2022-01-04,AAPL,182.630005,182.940002,179.119995,179.699997,179.471344,99310400
2022-01-05,AAPL,179.610001,180.169998,174.639999,174.919998,174.697418,94537600
2022-01-06,AAPL,172.699997,175.300003,171.639999,172.0,171.781143,96904000
2022-01-07,AAPL,172.889999,174.139999,171.029999,172.169998,171.950928,86580100
2022-01-10,AAPL,169.080002,172.5,168.169998,172.190002,171.970901,106765600
2022-01-11,AAPL,172.320007,175.179993,170.820007,175.080002,174.857224,76138300
2022-01-12,AAPL,176.119995,177.179993,174.820007,175.529999,175.306641,74805200
2022-01-13,AAPL,175.779999,176.619995,171.789993,172.190002,171.970901,84505800
2022-01-14,AAPL,171.339996,173.779999,171.089996,173.070007,172.849792,80355000
2022-01-18,AAPL,171.509995,172.539993,169.410004,169.800003,169.583939,90956700
2022-01-19,AAPL,170.0,171.080002,165.940002,166.229996,166.018478,94815000
2022-01-20,AAPL,166.979996,169.679993,164.179993,164.509995,164.300659,91420500
2022-01-21,AAPL,164.419998,166.330002,162.300003,162.410004,162.203354,122848900
2022-01-24,AAPL,160.020004,162.300003,154.699997,161.619995,161.414337,162294600
2022-01-25,AAPL,158.979996,162.759995,157.020004,159.779999,159.576691,115798400
2022-01-26,AAPL,163.5,164.389999,157.820007,159.690002,159.486801,108275300
2022-01-27,AAPL,162.449997,163.839996,158.279999,159.220001,159.01741,121954600
2022-01-28,AAPL,165.710007,170.350006,162.800003,170.330002,170.113266,179935700
2022-01-31,AAPL,170.160004,175.0,169.509995,174.779999,174.557602,115541600
