Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2022-01-03,AAPL,177.830002,182.880005,177.710007,182.009995,181.778397,104487900
2022-01-04,AAPL,182.630005,182.940002,179.119995,179.699997,179.471344,99310400
2022-01-05,AAPL,179.610001,180.169998,174.639999,174.919998,174.697418,94537600
2022-01-06,AAPL,172.699997,175.300003,171.639999,172.0,171.781143,96904000
2022-01-07,AAPL,172.889999,174.139999,171.029999,172.169998,171.950928,86580100
2022-01-10,AAPL,169.080002,172.5,168.169998,172.190002,171.970901,106765600
2022-01-11,AAPL,172.320007,175.179993,170.820007,175.080002,174.857224,76138300
2022-01-12,AAPL,176.119995,177.179993,174.820007,175.529999,175.306641,74805200
2022-01-13,AAPL,175.779999,176.619995,171.789993,172.190002,171.970901,84505800
2022-01-14,AAPL,171.339996,173.779999,171.089996,173.070007,172.849792,80355000
2022-01-18,AAPL,171.509995,172.539993,169.410004,169.800003,169.583939,90956700
2022-01-19,AAPL,170.0,171.080002,165.940002,166.229996,166.018478,94815000
2022-01-20,AAPL,166.979996,169.679993,164.179993,164.509995,164.300659,91420500
2022-01-21,AAPL,164.419998,166.330002,162.300003,162.410004,162.203354,122848900
2022-01-24,AAPL,160.020004,162.300003,154.699997,161.619995,161.414337,162294600
2022-01-25,AAPL,158.979996,162.759995,157.020004,159.779999,159.576691,115798400
2022-01-26,AAPL,163.5,164.389999,157.820007,159.690002,159.486801,108275300
2022-01-27,AAPL,162.449997,163.839996,158.279999,159.220001,159.01741,121954600
2022-01-28,AAPL,165.710007,170.350006,162.800003,170.330002,170.113266,179935700
2022-01-31,AAPL,170.160004,175.0,169.509995,174.779999,174.557602,115541600
2022-01-03,BZFD,5.28,5.57,5.24,5.29,5.29,202300
2022-01-04,BZFD,5.25,5.47,5.13,5.28,5.28,212000
2022-01-05,BZFD,5.24,5.42,5.161,5.21,5.21,135700
2022-01-06,BZFD,5.15,5.24,5.0,5.11,5.11,79300
2022-01-07,BZFD,5.05,5.17,4.88,4.98,4.98,106000
2022-01-10,BZFD,4.92,4.95,4.37,4.39,4.39,386500
2022-01-11,BZFD,4.41,4.7,4.27,4.62,4.62,333600
2022-01-12,BZFD,4.62,4.94,4.5,4.56,4.56,183600
2022-01-13,BZFD,4.52,4.62,4.27,4.39,4.39,132400
2022-01-14,BZFD,4.62,5.0,4.43,4.48,4.48,367000
2022-01-18,BZFD,4.45,4.48,4.31,4.31,4.31,100000
2022-01-19,BZFD,4.32,4.49,4.06,4.14,4.14,211500
2022-01-20,BZFD,4.14,4.339,4.01,4.04,4.04,153100
2022-01-21,BZFD,4.08,4.8,4.01,4.44,4.44,369200
2022-01-24,BZFD,4.35,4.363,4.04,4.15,4.15,206800
2022-01-25,BZFD,4.07,4.21,3.8,3.86,3.86,303900
2022-01-26,BZFD,3.94,3.99,3.69,3.73,3.73,85100
2022-01-27,BZFD,3.72,4.01,3.622,3.84,3.84,89400
2022-01-28,BZFD,3.86,3.98,3.7,3.88,3.88,105800
2022-01-31,BZFD,3.98,4.1,3.81,3.99,3.99,98700
2022-01-03,EURUSD,1.137385,1.137592,1.128541,1.137346,1.137346,0
2022-01-04,EURUSD,1.130199,1.1323,1.127345,1.130224,1.130224,0
2022-01-05,EURUSD,1.128541,1.134559,1.127764,1.128363,1.128363,0
2022-01-06,EURUSD,1.131222,1.133067,1.128554,1.13135,1.13135,0
2022-01-07,EURUSD,1.129586,1.135976,1.12905,1.129688,1.129688,0
